title,address,commune,commune_encoded,district,district_encoded,province,province_encoded,paper,price_by_area,latitude,longitude
The Matrix One Căn Hộ Vì Sức Khỏe - Đầu Tư Vô Giá,"Đường Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,51162791.0,21.0109844,105.7718386
Chung cư Huyện Gia Lâm 45m² 1PN Vị trí kim cương,"P4, Ngọc Trai, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Xã Đa Tốn,179,Huyện Gia Lâm,2,Hà Nội,0,0,22222222.0,20.9938008,105.9471383
chung cư full nội thất như hình,"Đường Phúc lợi, Phường Giang Biên, Quận Long Biên, Hà Nội",Phường Giang Biên,16,Quận Long Biên,20,Hà Nội,0,0,24285714.0,21.0568767,105.9171515
Chiết khấu 5% - quà tặng 120tr. trả góp 0%,"Số 79, Số 79 Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,28615385.0,20.9578958,105.8430654
"Bán chung cư phố Trần Điền 77m, ở sướng, >2 tỷ","Trần Điền, Phường Định Công, Quận Hoàng Mai, Hà Nội",Phường Định Công,136,Quận Hoàng Mai,18,Hà Nội,0,1,27922078.0,20.9886207,105.8293837
"Căn hộ dịch vụ, mini Gelexia Riverside 108m² 2P","885, 885 Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Phường Yên Sở,129,Quận Hoàng Mai,18,Hà Nội,0,0,24074074.0,20.973457,105.8669431
"Chung cư Việt Hưng-Long Biên 125m² 3PN,17tr/m2","88, Nguyễn Cao Luyện, Phường Đức Giang, Quận Long Biên, Hà Nội",Phường Đức Giang,141,Quận Long Biên,20,Hà Nội,0,1,16800000.0,21.065291,105.9075979
"Chính chủ bán Duplex Valencia 150m2, giá 3,6ty","CT-19B, CT-19B  Đường Việt Hưng, Phường Giang Biên, Quận Long Biên, Hà Nội",Phường Giang Biên,16,Quận Long Biên,20,Hà Nội,0,1,24000000.0,21.0559776,105.9116994
"Bán căn 90m2, 3pn, Đông nam view Công viên, 2.82ty","Đường Ngô Thì Nhậm, Phường Dương Nội, Hà Đông, Hà Nội, Phường Dương Nội, Quận Hà Đông, Hà Nội",Phường Dương Nội,12,Quận Hà Đông,19,Hà Nội,0,0,31243076.0,20.9691116,105.7688504
"Chính chủ cắt lỗ căn 73m2, có sổ, giá 1,9ty, có đồ","Lô CT-21B, Lô CT-21B Khu đô thị mới Việt Hưng, Phường Giang Biên, Quận Long Biên, Hà Nội",Phường Giang Biên,16,Quận Long Biên,20,Hà Nội,0,1,26027397.0,21.0561901,105.9128641
Chung cư vinhome ocean park view biển hồ và vinuni,"Đường 5, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Xã Đa Tốn,179,Huyện Gia Lâm,2,Hà Nội,0,1,39285714.0,20.9859154,105.9311644
Bán CC Hope H1 70m2 Tầng 9 Chu Huy Mân Long Biên,"B8.NXH Vinhomes Riverside 2, Phúc Đồng, Long Biên, Hà Nội, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Phường Phúc Đồng,73,Quận Long Biên,20,Hà Nội,0,0,22142857.0,21.0465216,105.9054688
"CC Vinhomes Ocean Park 3PN 75m2,có sổ,view đẹp","Đường Quốc Lộ 5, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,145,Huyện Gia Lâm,2,Hà Nội,0,0,31333333.0,21.0164183,105.9448441
"Căn hộ Feliz Homes Đền Lừ, ngoại giao 65m2, 1,9 tỷ","Đường Hoàng Văn Thụ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,20,Quận Hoàng Mai,18,Hà Nội,0,0,25000000.0,20.9848364,105.8598553
"Chung cư Mipec Rubik 360 107m² Xuân Thuỷ, Cầu Giấy","122-124 đường Xuân Thủy, phường Dịch Vọng Hậu, quận Cầu Giấy, thành phố Hà Nội., Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,0,420561.0,21.0367067,105.7863938
